lamp_id,F3_gc_score,F3_tm_score,F3_delta_g_score,F3_hairpin_score,F2_gc_score,F2_tm_score,F2_delta_g_score,F2_hairpin_score,F1_gc_score,F1_tm_score,F1_delta_g_score,F1_hairpin_score,B1_gc_score,B1_tm_score,B1_delta_g_score,B1_hairpin_score,B2_gc_score,B2_tm_score,B2_delta_g_score,B2_hairpin_score,B3_gc_score,B3_tm_score,B3_delta_g_score,B3_hairpin_score,distance_score,dimer_score
Group_11,0,0.23,1,1.0,0.7,0.43,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.39,1.0
Group_12,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.39,1.0
Group_13,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.07,1,1.0,0.7,0.27,1,1.0,0.42,1.0
Group_14,0.7,0.23,1,1.0,0,0.2,1,1.0,0,0,1,1.0,0,0,1,0.5,0.7,0.32,1,1.0,0,0,1,1.0,0.54,0.67
Group_15,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,0.7,0,0,1.0,0.7,0.49,1,1.0,1.0,0.91,1,1.0,0.41,0
Group_16,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.07,1,1.0,0.7,0.27,1,1.0,0.38,1.0
Group_17,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,0,0,1,0.5,0.7,0.28,1,0.5,1.0,0.91,1,1.0,0.44,1.0
Group_18,0.7,0.43,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,0.7,0,1,1.0,0,0.2,1,1.0,1.0,0.3,1,1.0,0.44,0.67
Group_19,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.07,1,1.0,0.7,0.27,1,1.0,0.5,1.0
Group_20,0,0.2,1,1.0,1.0,0.3,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.07,1,1.0,0.7,0.27,1,1.0,0.46,1.0
Group_21,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,0.5,0,0,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.39,1.0
Group_22,0.7,0.23,1,1.0,0,0.2,1,1.0,0.7,0.67,1,1.0,0,0,1,1.0,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0.48,0.67
Group_23,0.7,0.49,1,1.0,0.7,0.32,1,1.0,0,0,1,1.0,0.7,0,0,1.0,0.7,0.49,1,1.0,1.0,0.91,1,1.0,0.43,0
Group_24,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.39,1.0
Group_25,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,1.0,0,0,1,1.0,0.7,0.26,1,1.0,0.7,0.23,1,1.0,0.44,1.0
Group_26,0.7,0.36,1,1.0,0.7,0.2,1,1.0,0,0,1,0.5,0,0,1,1.0,0.7,0.23,1,1.0,0,0.2,1,1.0,0.39,1.0
